electorate_name | candidate_name | candidate_votes | party_name | party_votes 
Te Atatū | TWYFORD, Phil | 14202 | Labour Party | 12460
Te Atatū |  |  | Animal Justice Party | 67
Te Atatū |  |  | Aotearoa Legalise Cannabis Party | 151
Te Atatū |  |  | DemocracyNZ | 37
Te Atatū |  |  | Freedoms NZ | 106
Te Atatū |  |  | Leighton Baker Party | 16
Te Atatū |  |  | New Conservatives | 67
Te Atatū |  |  | New Nation Party | 25
Te Atatū |  |  | New Zealand First Party | 1681
Te Atatū |  |  | New Zealand Loyal | 282
Te Atatū |  |  | NewZeal | 354
Te Atatū |  |  | The Opportunities Party (TOP) | 603
Te Atatū |  |  | Women’s Rights Party | 40
Waitaki | ANDERSON, Miles | 22675 | National Party | 19281
Waitaki | BAILEY, Ray | 1125 | New Zealand Loyal | 902
Waitaki | BEAMISH, Sean | 2477 | ACT New Zealand | 5473
Waitaki | HANSEN, Pleasance | 3495 | Green Party | 4014
Waitaki | ODERING, Anthony | 1823 | New Zealand First Party | 3103
Waitaki | REILLE, Ethan | 10524 | Labour Party | 9575
Waitaki | SHAND, Daniel | 584 |  | 
Waitaki | SMALL, Roger | 1078 | DemocracyNZ | 281
Waitaki |  |  | Animal Justice Party | 64
Waitaki |  |  | Aotearoa Legalise Cannabis Party | 158
Waitaki |  |  | Freedoms NZ | 61
Waitaki |  |  | Leighton Baker Party | 33
Waitaki |  |  | New Conservatives | 72
Waitaki |  |  | New Nation Party | 10
Waitaki |  |  | NewZeal | 281
Waitaki |  |  | Te Pāti Māori | 182
Waitaki |  |  | The Opportunities Party (TOP) | 873
Waitaki |  |  | Women’s Rights Party | 30
Whangārei | ANDREWS, Janita | 1006 | New Zealand Loyal | 905
Whangārei | BAZELEY, Rick | 2680 | Green Party | 4075
Whangārei | BENNEY, Gavin | 5371 | New Zealand First Party | 5673
Whangārei | BRETHERTON, Susy | 1222 | ACT New Zealand | 3954
Whangārei | BURGESS, Diana | 578 | DemocracyNZ | 352
Whangārei | de JONGE, Jeni | 612 | Aotearoa Legalise Cannabis Party | 249
Whangārei | GREEN, Fiona | 140 |  | 
Whangārei | KAPA-KINGI, Eru | 859 | Te Pāti Māori | 591
Whangārei | RETI, Shane | 20843 | National Party | 16441
Whangārei | WARREN-CLARK, Angie | 9419 | Labour Party | 9698
Whangārei |  |  | Animal Justice Party | 77
Whangārei |  |  | Freedoms NZ | 110
Whangārei |  |  | Leighton Baker Party | 32
Whangārei |  |  | New Conservatives | 55
Whangārei |  |  | New Nation Party | 35
Whangārei |  |  | NewZeal | 336
Whangārei |  |  | The Opportunities Party (TOP) | 730
Whangārei |  |  | Women’s Rights Party | 35
Waikato | DORNAN, Lois | 420 |  | 
Waikato | HUSBAND, Stuart | 3587 | New Zealand First Party | 3319
Waikato | OWEN, Megan | 1549 | The Opportunities Party (TOP) | 742
Waikato | TOKO, Jamie | 9148 | Labour Party | 7612
Waikato | VAN DE MOLEN, Tim | 27194 | National Party | 21749
Waikato |  |  | ACT New Zealand | 5294
Waikato |  |  | Animal Justice Party | 77
Waikato |  |  | Aotearoa Legalise Cannabis Party | 190
Waikato |  |  | DemocracyNZ | 86
Waikato |  |  | Freedoms NZ | 142
Waikato |  |  | Green Party | 2376
Waikato |  |  | Leighton Baker Party | 28
Waikato |  |  | New Conservatives | 102
Waikato |  |  | New Nation Party | 19
Waikato |  |  | New Zealand Loyal | 721
Waikato |  |  | NewZeal | 238
Waikato |  |  | Te Pāti Māori | 415
Waikato |  |  | Women’s Rights Party | 36
Taranaki-King Country | BURR, Bill | 3388 |  | 
Taranaki-King Country | KURIGER, Barbara | 24760 | National Party | 19281
Taranaki-King Country | RAISON, Daryl | 948 |  | 
Taranaki-King Country | ROBERTS, Angela | 10405 | Labour Party | 7022
Taranaki-King Country |  |  | ACT New Zealand | 5484
Taranaki-King Country |  |  | Animal Justice Party | 66
Taranaki-King Country |  |  | Aotearoa Legalise Cannabis Party | 165
Taranaki-King Country |  |  | DemocracyNZ | 77
Taranaki-King Country |  |  | Freedoms NZ | 137
Taranaki-King Country |  |  | Green Party | 2828
Taranaki-King Country |  |  | Leighton Baker Party | 43
Taranaki-King Country |  |  | New Conservatives | 104
Taranaki-King Country |  |  | New Nation Party | 31
Taranaki-King Country |  |  | New Zealand First Party | 3398
Taranaki-King Country |  |  | New Zealand Loyal | 800
Taranaki-King Country |  |  | NewZeal | 229
Taranaki-King Country |  |  | Te Pāti Māori | 494
Taranaki-King Country |  |  | The Opportunities Party (TOP) | 645
Taranaki-King Country |  |  | Women’s Rights Party | 32
Northland | CAMERON, Mark | 2135 | ACT New Zealand | 4729
Northland | FEYEN, Michael | 1331 | New Zealand Loyal | 1529
Northland | FINLAYSON, Mike | 369 |  | 
Northland | JONES, Shane Geoffrey | 8143 | New Zealand First Party | 6523
Northland | KING, Matt | 3812 | DemocracyNZ | 784
Northland | LYE, Jeffrey | 677 | Aotearoa Legalise Cannabis Party | 307
Northland | McCALLUM, Grant | 16272 | National Party | 16418
Northland | PENNEY, Reina Tuai | 2424 | Green Party | 3705
